iter	Passed	Remaining
0	0	29
1	0	26
2	0	26
3	1	24
4	1	23
5	1	23
6	1	23
7	2	23
8	2	23
9	2	23
10	2	23
11	3	22
12	3	22
13	3	22
14	3	21
15	4	21
16	4	21
17	4	21
18	4	20
19	5	20
20	5	20
21	5	20
22	5	19
23	6	19
24	6	19
25	6	19
26	6	18
27	7	18
28	7	18
29	7	18
30	8	17
31	8	17
32	8	17
33	8	17
34	9	17
35	9	16
36	9	16
37	9	16
38	10	15
39	10	15
40	10	15
41	10	14
42	11	14
43	11	14
44	11	14
45	11	13
46	12	13
47	12	13
48	12	13
49	12	12
50	12	12
51	13	12
52	13	11
53	13	11
54	13	11
55	14	11
56	14	10
57	14	10
58	14	10
59	15	10
60	15	9
61	15	9
62	15	9
63	16	9
64	16	8
65	16	8
66	16	8
67	17	8
68	17	7
69	17	7
70	17	7
71	18	7
72	18	6
73	18	6
74	18	6
75	19	6
76	19	5
77	19	5
78	20	5
79	20	5
80	20	4
81	20	4
82	21	4
83	21	4
84	21	3
85	21	3
86	22	3
87	22	3
88	22	2
89	22	2
90	23	2
91	23	2
92	23	1
93	24	1
94	24	1
95	24	1
96	24	0
97	25	0
98	25	0
99	25	0
